ID,type
DR4_3_STRIPE82-0021_0018170,1.0
DR4_3_STRIPE82-0023_0030869,1.0
DR4_3_STRIPE82-0021_0005628,0.0
DR4_3_STRIPE82-0021_0006289,0.0
DR4_3_STRIPE82-0021_0006591,0.0
DR4_3_STRIPE82-0021_0006617,0.0
DR4_3_STRIPE82-0021_0006618,0.0
DR4_3_STRIPE82-0021_0006908,0.0
DR4_3_STRIPE82-0021_0007031,0.0
DR4_3_STRIPE82-0021_0007625,0.0
DR4_3_STRIPE82-0021_0009038,0.0
DR4_3_STRIPE82-0021_0009283,0.0
DR4_3_STRIPE82-0021_0009440,0.0
DR4_3_STRIPE82-0021_0009484,0.0
DR4_3_STRIPE82-0021_0010244,0.0
DR4_3_STRIPE82-0021_0010729,0.0
DR4_3_STRIPE82-0021_0010992,0.0
DR4_3_STRIPE82-0021_0011166,0.0
DR4_3_STRIPE82-0021_0011315,0.0
DR4_3_STRIPE82-0021_0011540,0.0
DR4_3_STRIPE82-0021_0012333,0.0
DR4_3_STRIPE82-0021_0012393,0.0
DR4_3_STRIPE82-0021_0012871,0.0
DR4_3_STRIPE82-0021_0012994,0.0
DR4_3_STRIPE82-0021_0013023,0.0
DR4_3_STRIPE82-0021_0013077,0.0
DR4_3_STRIPE82-0021_0013275,0.0
DR4_3_STRIPE82-0021_0013312,0.0
DR4_3_STRIPE82-0021_0013939,0.0
DR4_3_STRIPE82-0021_0013977,0.0
DR4_3_STRIPE82-0021_0015062,0.0
DR4_3_STRIPE82-0021_0015134,0.0
DR4_3_STRIPE82-0021_0015147,0.0
DR4_3_STRIPE82-0021_0015759,0.0
DR4_3_STRIPE82-0021_0015776,0.0
DR4_3_STRIPE82-0021_0015909,0.0
DR4_3_STRIPE82-0021_0015995,0.0
DR4_3_STRIPE82-0021_0016250,0.0
DR4_3_STRIPE82-0021_0016477,0.0
DR4_3_STRIPE82-0021_0017008,0.0
DR4_3_STRIPE82-0021_0017300,0.0
DR4_3_STRIPE82-0021_0018054,0.0
DR4_3_STRIPE82-0021_0018414,0.0
DR4_3_STRIPE82-0021_0018607,0.0
DR4_3_STRIPE82-0021_0018760,0.0
DR4_3_STRIPE82-0021_0018764,0.0
DR4_3_STRIPE82-0021_0018845,0.0
DR4_3_STRIPE82-0021_0018884,0.0
DR4_3_STRIPE82-0021_0019386,0.0
DR4_3_STRIPE82-0021_0019980,0.0
DR4_3_STRIPE82-0021_0020002,0.0
DR4_3_STRIPE82-0021_0020081,0.0
DR4_3_STRIPE82-0021_0020107,0.0
