ID,type,CHI2NU,Field_ID
DR4_3_STRIPE82-0021_0018170,2,1.16521225071766,5225_4125_STRIPE82-0021
DR4_3_STRIPE82-0023_0030869,2,4.91232406199335e-27,10725_10175_STRIPE82-0023
DR4_3_STRIPE82-0021_0005628,0,1.15521190414052,6875_1925_STRIPE82-0021
DR4_3_STRIPE82-0021_0006289,0,1.154948704069,7425_1925_STRIPE82-0021
DR4_3_STRIPE82-0021_0006591,0,1.154948704069,7425_1925_STRIPE82-0021
DR4_3_STRIPE82-0021_0006617,0,2.23423689149276,6325_1925_STRIPE82-0021
DR4_3_STRIPE82-0021_0006618,0,1.15521190414052,6875_1925_STRIPE82-0021
DR4_3_STRIPE82-0021_0006908,0,1.154948704069,7425_1925_STRIPE82-0021
DR4_3_STRIPE82-0021_0007031,0,1.22394845015888,9625_1925_STRIPE82-0021
DR4_3_STRIPE82-0021_0007625,0,1.154948704069,7425_1925_STRIPE82-0021
DR4_3_STRIPE82-0021_0009038,0,1.15023265051684,6875_2475_STRIPE82-0021
DR4_3_STRIPE82-0021_0009283,0,1.15023265051684,6875_2475_STRIPE82-0021
DR4_3_STRIPE82-0021_0009440,0,1.15023265051684,6875_2475_STRIPE82-0021
DR4_3_STRIPE82-0021_0009484,0,1.20335180985809,5775_2475_STRIPE82-0021
DR4_3_STRIPE82-0021_0010244,0,1.14487675569238,5225_2475_STRIPE82-0021
DR4_3_STRIPE82-0021_0010729,0,1.15207649260042,6325_2475_STRIPE82-0021
DR4_3_STRIPE82-0021_0010992,0,1.15207649260042,6325_2475_STRIPE82-0021
DR4_3_STRIPE82-0021_0011166,0,1.20335180985809,5775_2475_STRIPE82-0021
DR4_3_STRIPE82-0021_0011315,0,1.15207649260042,6325_2475_STRIPE82-0021
DR4_3_STRIPE82-0021_0011540,0,1.15273514008125,6875_3025_STRIPE82-0021
DR4_3_STRIPE82-0021_0012333,0,1.16770726601345,5775_3025_STRIPE82-0021
DR4_3_STRIPE82-0021_0012393,0,1.25447407757518,1925_3025_STRIPE82-0021
DR4_3_STRIPE82-0021_0012871,0,1.15279075456372,9625_3025_STRIPE82-0021
DR4_3_STRIPE82-0021_0012994,0,1.16770726601345,5775_3025_STRIPE82-0021
DR4_3_STRIPE82-0021_0013023,0,1.16770726601345,5775_3025_STRIPE82-0021
DR4_3_STRIPE82-0021_0013077,0,1.1656720768617,6875_3025_STRIPE82-0021
DR4_3_STRIPE82-0021_0013275,0,1.14349188553601,6325_3025_STRIPE82-0021
DR4_3_STRIPE82-0021_0013312,0,1.1656720768617,6875_3025_STRIPE82-0021
DR4_3_STRIPE82-0021_0013939,0,1.3215190747716,6325_3025_STRIPE82-0021
DR4_3_STRIPE82-0021_0013977,0,1.1656720768617,6875_3025_STRIPE82-0021
